section,category,value_type,statewide,rogue_workforce_partnership
totals,Overall,percent,63,66
gender,Women,percent,63,63
gender,Men,percent,64,68
gender,Not Reported,percent,66,
age,<18,percent,57,
age,18-24,percent,66,66
age,25+,percent,63,66
race_ethnicity,Asian/Asian American,percent,64,
race_ethnicity,Black/African American,percent,60,
race_ethnicity,Latino/a/x/Hispanic,percent,67,73
race_ethnicity,Native American/Alaska Native,percent,50,
race_ethnicity,Native Hawaiian/Pacific Islander,percent,53,
race_ethnicity,Two or more,percent,63,58
race_ethnicity,Not reported,percent,58,49
race_ethnicity,White,percent,64,66
